NOMBRE_PROYECTO,FORMA_PRESENTACION,ESTADO_EVALUACION,REGION,COMUNAS,FECHA_PRESENTACION,FECHA_CALIFICACION,FECHA_MODIFICACION,ID_EXPEDIENTE,INVERSION_US,LETRA_TIPOLOGIA,NOMBRE_TIPOLOGIA,TITULAR,lat,lng
TRANSPORTE DE EXPLOSIVOS Y CARGAS PELIGROSAS,DIA,Desistido,Interregional,Vicuña-Alto Hospicio-Andacollo-Antofagasta-Arica-Cabildo-Calama-Canela-Casablanca-Castro-Chaitén-Chañaral-Chile Chico-Coyhaique-Colina-Copiapó-Coquimbo-Dalcahue-Diego de Almagro-Illapel-Iquique-La Higuera-La Ligua-La Serena-Lampa-Llanquihue-Los Andes-Los Vilos-Machalí-Maipú-María Elena-Mejillones-Ovalle-Pozo Almonte-Pudahuel-Puerto Montt-Quilicura-Rancagua-Río Hurtado-Salamanca-San Antonio-San Fernando-San Pedro de Atacama-Taltal-Tierra Amarilla-Tocopilla-Vallenar-Valparaíso,8 jul 2008,4 Ago. 2008,2 ene 2014,3024415,$null,ñ,"ñ-Producción, almacenamiento, disposición o reutilización o trasporte por medios terrestres de sustancias explosivas, (sustancias señaladas en la Clase 1.1 de la NCh. 382, Of. 89)",TRANSORTE DE CARGAS POR CARRETERA,-70.780819,-33.427158
Proyecto Sitio Bustos,DIA,Aprobado,RM,Maipú,7 Ago. 2008,5 jul 2009,27 Ago. 2013,3091784,$5.000.000,h,h-Proyectos industriales,Cintac S.A.I.C.,-70.726153,-33.517282
Declaración de impacto ambiental Sistema de tratamiento de RILes ACMANET S.A.,DIA,No Admitido a Tramitación,RM,Maipú,13 Ago. 2008,28 Ago. 2008,20 sep 2017,3110788,$220.00,o,"o-Sistemas de tratamiento y/o disposición de residuos industriales líquidos, que contemplen dentro de sus instalaciones lagunas de estabilización u otros depositos de los efluentes sin tratar y tratados",ACAMANET S.A.,-70.759535,-33.535506
Declaración de impacto ambiental sistemas de tratamiento de residuos industriales líquidos ACMANET S.A. 162/08,DIA,Aprobado,RM,Maipú,1 sep 2008,8 jun 2009,29 Ago. 2013,3129948,$220.00,o,"o-Sistemas de tratamiento y/o disposición de residuos industriales líquidos, que contemplen dentro de sus instalaciones lagunas de estabilización u otros depositos de los efluentes sin tratar y tratados",ACAMANET S.A.,-70.759519,-33.533848
Modificación Planta de Combustibles Maipú Construcción Estanque T-12,DIA,No Admitido a Tramitación,RM,Maipú,27 Ago. 2008,8 sep 2008,4 sep 2017,3133569,$3.000.000,ñ,"ñ-Producción, almacenamiento, disposición o reutilización o transporte por medios terrestres de sustancias inflamables, (sustancias señaladas en las clases 3 y 4 de la NCh. 2120/Of. 89)",Compañía de Petróleos de Chile COPEC S.A.,-70.752838,-33.528811
Modificación Planta de Combustibles Maipú Construcción Estanque T-12,DIA,Aprobado,RM,Maipú,4 sep 2008,30 jul 2009,29 Ago. 2013,3158383,$3.000.000,ñ,"ñ-Producción, almacenamiento, disposición o reutilización o transporte por medios terrestres de sustancias inflamables, (sustancias señaladas en las clases 3 y 4 de la NCh. 2120/Of. 89)",Compañía de Petróleos de Chile COPEC S.A.,-70.752369,-33.526933
Conjunto Habitacional Los Llanos de Maipú III,DIA,Aprobado,RM,Maipú,12 oct 2008,29 abr 2009,29 Ago. 2013,3264253,$21.000.000,h,h-Proyectos inmobiliarios,Inmobiliaria Cono Sur Ltda.,-70.763831,-33.546285
RED LOGISTICA DE TRANSPORTE DE BATERIAS,DIA,No Admitido a Tramitación,Interregional,Vicuña-Villa Alegre-Viña del Mar-Vitacura-Alto Hospicio-Alhué-Andacollo-Antofagasta-Arauco-Arica-Buin-Bulnes-Cabildo-Cabrero-Calama-Caldera-La Calera-Calera de Tango-Calle Larga-Camarones-Canela-Casablanca-Catemu-Cerrillos-Cerro Navia-Chañaral-Chillán-Chillán Viejo-Chimbarongo-Colina-Collipulli-Concón-Concepción-Conchalí-Constitución-Copiapó-Coquimbo-Coronel-Corral-Curacaví-Curicó-Diego de Almagro-El Bosque-El Monte-Ercilla-Estación Central-Freire-Frutillar-Futrono-General Lagos-Gorbea-Graneros-Hijuelas-Hualañé-Huara-Huechuraba-Illapel-Independencia-Iquique-Isla de Maipo-La Cisterna-La Cruz-La Florida-La Granja-La Higuera-La Ligua-La Pintana-La Reina-La Serena-La Unión-Lago Ranco-Laja-Lampa-Lanco-Las Cabras-Las Condes-Lautaro-Licantén-Linares-Llay Llay-Llanquihue-Lo Espejo-Lo Prado-Loncoche-Longaví-Lonquimay-Los Andes-Los Angeles-Los Lagos-Los Vilos-Lota-Machalí-Macul-Máfil-Maipú-María Elena-María Pinto-San José de la Mariquina-Maule-Mejillones-Melipilla-Molina-Mulchén-Nacimiento-Ñiquén-Nogales-Ñuñoa-Osorno-Ovalle-Padre Hurtado-Padre Las Casas-Paillaco-Paine-Palena-Panguipulli-Parral-Pedro Aguirre Cerda-Pelarco-Peñaflor-Peñalolén-Penco-Perquenco-Pica-Pirque-Pitrufquén-Pozo Almonte-Providencia-Pudahuel-Puente Alto-Puerto Montt-Puerto Varas-Purranque-Putre-Quilicura-Quinta Normal-Rancagua-Rauco-Recoleta-Renca-Rengo-Requinoa-Retiro-Rinconada-Río Bueno-Río Claro-Río Negro-Salamanca-San Antonio-San Bernardo-San Carlos-San Fernando-Mostazal-San Javier-San Joaquín-San José de Maipo-San Miguel-San Pablo-San Pedro-San Pedro de la Paz-San Rafael-San Ramón-San Vicente-Santa Bárbara-Santiago-Sierra Gorda-Talagante-Talca-Talcahuano-Taltal-Temuco-Teno-Tierra Amarilla-Til-Til-Tocopilla-Tomé-Valdivia-Vallenar-Valparaíso-Victoria,14 oct 2008,3 nov 2008,2 ene 2014,3266344,$300.00,ñ,"ñ-Producción, almacenamiento, disposición o reutilización o transporte por medios terrestres, de sustancias corrosivas o reactivas, que se realicen con una periodicidad mensual o mayor, en una cantidad igual o superior a 120000 Kg/día","EMASA, EQUIPOS Y MAQUINARIAS S.A.",-70.751191,-33.520818
"Adecuación del Sistema de Impermeabilización del Relleno Sanitario Santiago Poniente, al D.S. 189/05 del MINSAL",DIA,Aprobado,RM,Maipú,29 oct 2008,1 jun 2009,29 Ago. 2013,3312761,$null,o,"o-Plantas de tratamiento y/o disposición de residuos sólidos de origen domiciliario, rellenos sanitarios y estaciones de transferencia que atiendan a una población igual o mayor a 5000 habitantes",Veolia SU Chile S.A.,-70.871391,-33.522026
RED LOGISTICA DE TRANSPORTE DE BATERIAS,DIA,Aprobado,Interregional,Vicuña-Vilcún-Villa Alegre-Villa Alemana-Viña del Mar-Vitacura-Yerbas Buenas-Yumbel-Zapallar-Hualpén-Alto Hospicio-Alto Biobío-Algarrobo-Alhué-Andacollo-Antofagasta-Arauco-Arica-Buin-Bulnes-Cabildo-Cabrero-Calama-Caldera-La Calera-Calera de Tango-Calle Larga-Camarones-Canela-Cartagena-Casablanca-Catemu-Cerrillos-Cerro Navia-Chañaral-Chillán-Chillán Viejo-Chimbarongo-Codegua-Colbún-Colina-Collipulli-Combarbalá-Concón-Concepción-Conchalí-Constitución-Copiapó-Coquimbo-Coronel-Corral-Curacaví-Curanilahue-Curepto-Curicó-Diego de Almagro-El Bosque-Ercilla-Estación Central-Florida-Freire-Frutillar-General Lagos-Gorbea-Graneros-Hijuelas-Hualañé-Hualqui-Huara-Huechuraba-Illapel-Independencia-Iquique-Isla de Maipo-La Cisterna-La Cruz-La Florida-La Granja-La Higuera-La Ligua-La Pintana-La Reina-La Serena-La Unión-Lago Ranco-Laja-Lampa-Lanco-Las Cabras-Las Condes-Lautaro-Licantén-Limache-Linares-Llay Llay-Llanquihue-Lo Barnechea-Lo Espejo-Lo Prado-Loncoche-Longaví-Los Andes-Los Angeles-Los Lagos-Los Vilos-Lota-Machalí-Macul-Máfil-Maipú-Malloa-María Elena-María Pinto-San José de la Mariquina-Maule-Mejillones-Melipilla-Molina-Mulchén-Nacimiento-Nancagua-Negrete-Ñiquén-Nogales-Nueva Imperial-Ñuñoa-Olivar-Osorno-Ovalle-Padre Hurtado-Padre Las Casas-Paillaco-Paine-Palmilla-Panguipulli-Papudo-Parral-Pedro Aguirre Cerda-Pemuco-Peñaflor-Peñalolén-Penco-Perquenco-Pica-Pirque-Pitrufquén-Placilla-Pozo Almonte-Providencia-Pudahuel-Puente Alto-Puerto Montt-Puerto Varas-Purranque-Putre-Quilaco-Quilicura-Quilleco-Quillón-Quillota-Quilpué-Quinta Normal-Quintero-Rancagua-Ranquil-Rauco-Recoleta-Renca-Rengo-Requinoa-Retiro-Rinconada-Río Bueno-Río Claro-Río Hurtado-Río Negro-Romeral-Sagrada Familia-Salamanca-San Antonio-San Bernardo-San Carlos-San Esteban-San Felipe-San Fernando-Mostazal-San Javier-San Joaquín-San José de Maipo-San Miguel-San Nicolás-San Pablo-San Pedro-San Pedro de la Paz-San Rafael-San Ramón-San Rosendo-San Vicente-Santa Bárbara-Santa Cruz-Santa Juana-Santa María-Santiago-Sierra Gorda-Talagante-Talca-Talcahuano-Taltal-Temuco-Teno-Tierra Amarilla-Til-Til-Tocopilla-Tomé-Valdivia-Vallenar-Valparaíso-Victoria,29 oct 2008,29 Mar. 2009,26 Feb. 2013,3313847,$300.00,ñ,"ñ-Producción, almacenamiento, disposición o reutilización o transporte por medios terrestres, de sustancias corrosivas o reactivas, que se realicen con una periodicidad mensual o mayor, en una cantidad igual o superior a 120000 Kg/día","EMASA, EQUIPOS Y MAQUINARIAS S.A.",-70.751191,-33.520816
"DECLARACIÓN DE IMPACTO AMBIENTAL MODIFICACIÓN PROYECTO METRO MAIPÚ, CONSTRUCCIÓN ESTACIONES E INTERESTACIONES TRAMO RIESCO PLAZA MAIPÚ",DIA,Aprobado,RM,Maipú,9 nov 2008,3 sep 2009,29 Ago. 2013,3325016,$36.800.000,e,e-Terminales de buses,EMPRESA DE TRANSPORTE DE PASAJEROS METRO S.A.,-70.745978,-33.483232
Taller de Mantencion Division Industrial Empresas Pullman,DIA,No Admitido a Tramitación,RM,Maipú,4 dic 2008,25 dic 2008,15 sep 2017,3405659,$1.067.661,e,e-Terminales de buses,patricia andrea reyes araya,-70.738422,-33.535997
Línea de transmisión 110 kV Santa Marta- Padre Hurtado y Subestación eléctrica 110/12-23 kV Padre Hurtado,DIA,Aprobado,RM,Maipú-Padre Hurtado,17 dic 2008,29 oct 2009,27 Ago. 2013,3434591,$13.500.000,b,b-Líneas de transmisión eléctrica de alto voltaje,Compañía General de Electricidad S.A.,-70.808652,-33.562709
SISTEMA AMÉRICO VESPUCIO SUR (RUTA 78 AVENIDA GRECIA),DIA,Aprobado,RM,Cerrillos-La Cisterna-La Florida-La Granja-Lo Espejo-Macul-Maipú-Peñalolén-San Ramón,25 dic 2008,18 oct 2010,25 jul 2013,3452659,$746.317.700,e,e-Autopistas,MINISTERIO DE OBRAS PÚBLICAS,-70.749118,-33.490591
Taller de Mantención División Industrial Empresas Pullman,DIA,Desistido,RM,Maipú,29 dic 2008,16 Feb. 2009,20 sep 2017,3460225,$1.143.284,e,e-Terminales de buses,patricia andrea reyes araya,-70.738415,-33.536085
cementerio parque El Olivo,DIA,Aprobado,RM,Maipú,9 jul 2009,2 sep 2010,29 jul 2013,3844895,$11,g,"g-Proyectos de equipamiento que correspondan a predios y/o edificios destinados en forma permanente a salud, educación, seguridad, culto, deporte, esparcimiento, cultura, transporte, comercio o servicios, y que contemplen al menos una de las siguientes especificaciones:",Inmobiliaria Parques y Jardines S.A.,-70.764434,-33.474719
Actualización y Regularización del Relleno Sanitario Santiago Poniente,DIA,Desistido,RM,Maipú,2 jul 2009,24 sep 2009,19 oct 2017,3882148,$null,o,"o-Plantas de tratamiento y/o disposición de residuos sólidos de origen domiciliario, rellenos sanitarios y estaciones de transferencia que atiendan a una población igual o mayor a 5000 habitantes",Veolia SU Chile S.A.,-70.87564,-33.519843
Prórrogas Vialidad Colectora y Afectaciones a Utilidad Pública Plan Regulador Comunal,DIA,Aprobado,RM,Maipú,26 jul 2009,1 nov 2009,25 jul 2013,3927420,$null,h,h-Planes reguladores comunales,Ilustre Municipalidad de Maipú,-70.764845,-33.458905
Piscina de Separación de Sentinas y Agua,DIA,Desistido,RM,Maipú,28 sep 2009,13 abr 2011,24 oct 2017,4070972,$150.00,o,"o-Plantas de tratamiento y/o disposición de residuos peligrosos, incluidos los infecciosos",Bravo Energy Chile S.A.,-70.751113,-33.531947
DEPOSITO Y TERMINAL DE VEHÍCULOS MAIPÚ TRONCAL 1,DIA,Aprobado,RM,Maipú,19 nov 2009,5 jun 2011,20 jun 2013,4161457,$6.544.306,e,e-Terminales de buses,ALSACIA S.A.,-70.806112,-33.5157
Nuevo Estanque de Combustible Estación de Servicio PETROBRAS Ciudad Satélite Maipú,DIA,Aprobado,RM,Maipú,17 nov 2009,14 abr 2010,20 jun 2013,4200339,$30.00,e,e-Estaciones de servicios,Petrobras Chile Distribución Ltda.,-70.795441,-33.55465
Relleno Sanitario Santiago Poniente Ajustes al Acceso Vial,DIA,Aprobado,RM,Maipú,20 dic 2009,22 oct 2012,28 jun 2013,4269476,$null,o,"o-Plantas de tratamiento y/o disposición de residuos sólidos de origen domiciliario, rellenos sanitarios y estaciones de transferencia que atiendan a una población igual o mayor a 5000 habitantes",Veolia SU Chile S.A.,-70.865017,-33.519976
Aprovechamiento Energetico de Residuos industriales,DIA,Desistido,RM,Maipú,4 ene 2010,23 nov 2011,23 oct 2017,4298254,$4.000.000,o,"o-Plantas de tratamiento y/o disposición de residuos peligrosos, incluidos los infecciosos",Bravo Energy Chile S.A.,-70.751621,-33.531498
Planta Reciclaje Sociedad Comercializadora Prohesa Ltda.,DIA,No Admitido a Tramitación,RM,Maipú,12 abr 2010,22 abr 2010,30 oct 2017,4345334,$400.00,o,o-Sistemas de tratamiento y/o disposición de residuos industriales sólidos,FELIPE AEDO SEPULVEDA,-70.734951,-33.520369
Planta de Reciclaje de Plastico Sociedad Comercializadora Prohesa ltda.,DIA,No Admitido a Tramitación,RM,Maipú,25 ene 2010,3 Feb. 2010,27 nov 2017,4346435,$400.00,o,o-Sistemas de tratamiento y/o disposición de residuos industriales sólidos,FELIPE AEDO SEPULVEDA,-70.734827,-33.520381
Planta de Reciclaje de Plasticos Sociedad Comercializadora Prohesa ltda.,DIA,Desistido,RM,Maipú,24 nov 2010,22 May. 2011,19 oct 2017,4605752,$400.00,o,o-Sistemas de tratamiento y/o disposición de residuos industriales sólidos,Sociedad Comercializadora Prohesa Ltda.,-70.734209,-33.520164
Bodega de Almacenamiento Sustancias Inflamables,DIA,Desistido,RM,Maipú,18 Ago. 2010,15 sep 2011,20 nov 2017,4789901,$450.00,ñ,"ñ-Producción, almacenamiento, disposición o reutilización o transporte por medios terrestres de sustancias inflamables, (sustancias señaladas en las clases 3 y 4 de la NCh. 2120/Of. 89)",Pinturas Sipa S.A.,-70.7496,-33.53532
Tratamiento Externo de los Lixiviados del Relleno Sanitario Santiago Poniente,DIA,Aprobado,RM,Maipú-Padre Hurtado,29 jul 2010,11 dic 2012,29 May. 2013,4804511,$1.236.000.000,o,"o-Sistemas de tratamiento y/o disposición de residuos industriales líquidos, que contemplen dentro de sus instalaciones lagunas de estabilización u otros depositos de los efluentes sin tratar y tratados",Veolia SU Chile S.A.,-70.869682,-33.52216
Actualización del sistema de tratamiento de biogás del RSSP,DIA,Desistido,RM,Maipú,22 Ago. 2010,26 jul 2012,20 nov 2017,4864832,$140.00,o,"o-Plantas de tratamiento y/o disposición de residuos sólidos de origen domiciliario, rellenos sanitarios y estaciones de transferencia que atiendan a una población igual o mayor a 5000 habitantes",Veolia SU Chile S.A.,-70.867117,-33.524535
Planta Curtiembre Rufino Melero - Maipú,DIA,Aprobado,RM,Maipú,2 sep 2010,18 ene 2011,20 nov 2017,4901729,$5.940.040,k,k-Instalaciones fabriles de curtiembres cuya capacidad de producción es superior a 30 mt2/día,CURTIEMBRE RUFINO MELERO S.A,-70.751887,-33.533686
Ciudad Satelite Maipu 3 Expediente 075/10,DIA,Aprobado,RM,Maipú,13 sep 2010,27 Mar. 2011,6 oct 2017,4932737,$12.280.000,h,h-Proyectos inmobiliarios,INMOBILIARIA SOCOVESA SANTIAGO S.A.,-70.766396,-33.570164
CENTRO AUTORIZADO DE DESMONTAJE DE VEHICULOS,DIA,Aprobado,RM,Maipú,22 sep 2010,20 oct 2011,29 May. 2013,4938105,$2.100.000,o,o-Sistemas de tratamiento y/o disposición de residuos industriales sólidos,DESGUACES INTEGRALES S.A.,-70.7364,-33.5337
Ampliación de los Procesos para la Producción de Selenio y sus Compuestos,DIA,Desistido,RM,Maipú,28 oct 2010,11 nov 2010,23 oct 2017,5019660,$270.00,o,o-Sistemas de tratamiento y/o disposición de residuos industriales sólidos,Corporación Minera y Química S.A. (Corrmiquim S.A),-70.735755,-33.525694
Horno Híbrido Toro - Maipú,DIA,Aprobado,RM,Maipú,1 dic 2010,4 oct 2011,2 May. 2013,5106242,$45.000.000,h,h-Proyectos industriales,Cristalerías Toro S.p.A.,-70.74877,-33.549763
"POTENCIACIÓN DE LÍNEA DE TRANSMISIÓN ELÉCTRICA DE 110 kV CHENA - CERRO NAVIA, TRAMO TAP PAJARITOS - TAP SAN JOSÉ",DIA,Aprobado,RM,Estación Central-Lo Prado-Maipú,25 nov 2010,3 Feb. 2011,3 May. 2013,5108899,$2.080.674,b,b-Líneas de transmisión eléctrica de alto voltaje,Enel Distribución Chile S.A.,-70.731377,-33.482824
Ampliación de Procesos para Producción de Selenio y sus Compuestos,DIA,Aprobado,RM,Maipú,5 ene 2011,29 Mar. 2012,27 May. 2013,5205090,$270.00,o,o-Sistemas de tratamiento y/o disposición de residuos industriales sólidos,Corporación Minera y Química S.A. (Corrmiquim S.A),-70.73528,-33.525262
Ampliación de la Capacidad de Almacenamiento de Combustibles Estación de Servicio COPEC Pajaritos 5.200,DIA,Aprobado,RM,Maipú,24 ene 2011,27 abr 2011,26 abr 2013,5277306,$53.00,e,e-Estaciones de servicios,Compañía de Petróleos de Chile COPEC S.A.,-70.740167,-33.474088
Ampliación Arauco Maipú,DIA,Aprobado,RM,Maipú,8 Ago. 2011,2 Feb. 2012,26 Mar. 2013,5901385,$13.945.000,h,h-Proyectos inmobiliarios,CONSTRUCTORA Y ADMINISTRADORA UNO S.A.,-70.750645,-33.481453
Transporte de Residuos Industriales Peligrosos,DIA,No Admitido a Tramitación,Interregional,Viña del Mar-Vitacura-Zapallar-Alto Hospicio-Alhué-Antofagasta-Arica-Buin-Calama-Caldera-Calera de Tango-Calle Larga-Camarones-Canela-Casablanca-Cerrillos-Cerro Navia-Chañaral-Colina-Conchalí-Copiapó-Coquimbo-Curacaví-Diego de Almagro-El Bosque-El Monte-Estación Central-Freirina-Hijuelas-Huara-Huasco-Huechuraba-Independencia-Iquique-Isla de Maipo-La Cisterna-La Florida-La Granja-La Higuera-La Ligua-La Pintana-La Reina-La Serena-Lampa-Las Condes-Llay Llay-Lo Barnechea-Lo Espejo-Lo Prado-Los Vilos-Macul-Maipú-María Elena-María Pinto-Melipilla-Nogales-Ñuñoa-Ovalle-Padre Hurtado-Paine-Panquehue-Papudo-Pedro Aguirre Cerda-Peñaflor-Peñalolén-Pirque-Pozo Almonte-Providencia-Pudahuel-Puente Alto-Quilicura-Quinta Normal-Recoleta-Renca-San Antonio-San Bernardo-San Felipe-San Joaquín-San José de Maipo-San Miguel-San Pedro-San Ramón-Santiago-Sierra Gorda-Talagante-Taltal-Til-Til-Vallenar-Valparaíso,7 nov 2011,20 nov 2011,10 ene 2014,6183206,$200.00,ñ,"ñ-Producción, almacenamiento, disposición o reutilización o transporte por medios terrestres de sustancias tóxicas, (sustancias señaladas en la Clase 6,1 de la NCh. 382, Of. 89)",Transportes Alcayaga y Rovira Ltda.,-70.7212,-33.5589
"Planta de Reciclaje de Residuos Electrónicos, Metálicos y Plásticos",DIA,No Admitido a Tramitación,RM,Vitacura-Alhué-Buin-Calera de Tango-Cerrillos-Cerro Navia-Colina-Conchalí-Curacaví-El Bosque-El Monte-Estación Central-Huechuraba-Independencia-Isla de Maipo-La Cisterna-La Florida-La Granja-La Pintana-La Reina-Lampa-Las Condes-Lo Barnechea-Lo Espejo-Lo Prado-Macul-Maipú-María Pinto-Melipilla-Ñuñoa-Padre Hurtado-Paine-Pedro Aguirre Cerda-Peñaflor-Peñalolén-Pirque-Providencia-Pudahuel-Puente Alto-Quilicura-Quinta Normal-Recoleta-Renca-San Bernardo-San Joaquín-San José de Maipo-San Miguel-San Pedro-San Ramón-Santiago-Talagante-Til-Til,8 nov 2011,16 nov 2011,20 nov 2017,6246614,$800.00,ñ,"ñ-Producción, almacenamiento, disposición o reutilización o transporte por medios terrestres de sustancias tóxicas, (sustancias señaladas en la Clase 6,1 de la NCh. 382, Of. 89)",Neociclo Ltda.,-70.719907,-33.560067
Bodegas de almacenamiento y distribución de productos qúímicos,DIA,Aprobado,RM,Maipú,17 nov 2011,4 jul 2012,26 Mar. 2013,6260987,$300.00,ñ,"ñ-Producción, almacenamiento, disposición o reutilización o transporte por medios terrestres de sustancias tóxicas, (sustancias señaladas en la Clase 6,1 de la NCh. 382, Of. 89)",PROQUIEL LTDA,-70.746534,-33.535014
Planta Novoflex,DIA,Desistido,RM,Maipú,28 dic 2011,10 ene 2012,28 nov 2017,6442503,$30.000.000,h,h-Proyectos industriales,Envases del Pacífico S.A.,-70.741638,-33.520373
Planta Novoflex,DIA,Aprobado,RM,Maipú,9 ene 2012,27 Ago. 2012,26 Feb. 2013,6477709,$30.000.000,h,h-Proyectos industriales,Envases del Pacífico S.A.,-70.737566,-33.524337
"Planta de Reciclaje de Residuos Electrónicos, Metálicos y Plásticos",DIA,Desistido,RM,Vitacura-Alhué-Buin-Calera de Tango-Cerrillos-Cerro Navia-Colina-Conchalí-Curacaví-El Bosque-El Monte-Estación Central-Huechuraba-Independencia-Isla de Maipo-La Cisterna-La Florida-La Granja-La Pintana-La Reina-Lampa-Las Condes-Lo Barnechea-Lo Espejo-Lo Prado-Macul-Maipú-María Pinto-Melipilla-Ñuñoa-Padre Hurtado-Paine-Pedro Aguirre Cerda-Peñaflor-Peñalolén-Pirque-Providencia-Pudahuel-Puente Alto-Quilicura-Quinta Normal-Recoleta-Renca-San Bernardo-San Joaquín-San José de Maipo-San Miguel-San Pedro-San Ramón-Santiago-Talagante-Til-Til,17 ene 2012,29 ene 2012,24 nov 2017,6508245,$800.00,ñ,"ñ-Producción, almacenamiento, disposición o reutilización o transporte por medios terrestres de sustancias tóxicas, (sustancias señaladas en la Clase 6,1 de la NCh. 382, Of. 89)",Neociclo Ltda.,-70.72034,-33.559363
Regularización Ampliación Planta Lonquén. Quimetal Industrial S.A,DIA,Aprobado,RM,Maipú,24 ene 2012,21 May. 2013,7 Feb. 2013,6521526,$110.00,k,k-Instalaciones fabriles sobre 2000 KVA,Quimetal Industrial S.A,-70.737876,-33.531213
"“Extracción y Procesamiento de Áridos del Río Mapocho, Km 0+650 – 1+800, Comuna de Maipú”",DIA,No calificado,RM,Maipú,27 Mar. 2012,16 May. 2012,24 nov 2017,6749015,$300.00,i,i-Extracciones en un cuerpo o curso de agua,Arenex S.A,-70.813003,-33.526502
Planta productora de gases del aire INDURA Maipú 049/2012,DIA,Aprobado,RM,Maipú,19 abr 2012,12 Mar. 2013,14 dic 2017,6828196,$10.200.000,k,k-Instalaciones fabriles sobre 2000 KVA,Indura S.A.,-70.75633,-33.534849
EXTRACCIÓN DE PUZOLANA Y UTILIZACIÓN DE BIOGÁS PARA SU PROCESO DE SECADO,EIA,Desistido,RM,Maipú-Padre Hurtado,14 May. 2012,22 jul 2012,21 nov 2012,6906100,$6.000.000,i,i-Extracción de pozos o canteras,Cementos Bicentenario S.A.,-70.838796,-33.533453
TRASLADO DE PLANTA INDUSTRIAL Y LABORATORIOS,DIA,Aprobado,RM,Maipú,3 sep 2012,15 sep 2013,29 ene 2013,7298825,$4.600.000,h,h-Proyectos industriales,LABORATORIO BALLERINA LTDA,-70.738897,-33.526816
"Proyecto Nueva Caldera para Planta Ditzler - Maipú, Región Metropolitana.",DIA,Desistido,RM,Maipú,26 sep 2012,9 oct 2012,14 dic 2017,7370190,$350.00,h,h-Proyectos industriales,Ditzler Chile Limitada,-70.743207,-33.541826
"Proyecto Nueva Caldera para Planta Ditzler-Maipú, Región Metropolitana",DIA,Aprobado,RM,Maipú,3 dic 2012,23 May. 2013,29 Ago. 2013,7601036,$350.00,h,h-Proyectos industriales,Ditzler Chile Limitada,-70.743218,-33.542005
EXTRACCIÓN DE PUZOLANA Y UTILIZACIÓN DE BIOGÁS PARA SU PROCESO DE SECADO,EIA,Desistido,RM,Maipú-Padre Hurtado,25 dic 2012,30 jun 2016,13 May. 2013,7677911,$6.000.000,i,i-Extracción de pozos o canteras,Cementos Bicentenario S.A.,-70.83821,-33.53375
DECLARACIÓN DE IMPACTO AMBIENTAL REGULARIZACIÓN DE INSTALACIONES PARA EL SUMINISTRO DE GLP ESTACIÓN DE SERVICIO COPEC ALBERTO LLONA,DIA,Desistido,RM,Maipú,21 abr 2013,18 nov 2013,22 dic 2017,8084481,$70.000.000,e,e-Estaciones de servicios,Compañía de Petróleos de Chile COPEC. S.A.,-70.756614,-33.521071
Segunda Línea Oleoducto Maipú-Aeropuerto AMB,EIA,Desistido,RM,Maipú-Pudahuel,1 May. 2013,12 May. 2013,22 dic 2017,8095884,$55.500.000,j,j-Oleoductos,Sociedad Nacional de Oleoductos S.A.,-70.751063,-33.526798
Segunda Línea Oleoducto Maipú-Aeropuerto AMB,EIA,Desistido,RM,Maipú-Pudahuel,16 May. 2013,3 jul 2013,22 dic 2017,8170472,$55.500.000,j,j-Oleoductos,Sociedad Nacional de Oleoductos S.A.,-70.751063,-33.526798
Ajustes al Acceso Vial,EIA,Aprobado,RM,Maipú,15 Ago. 2013,9 jul 2014,22 dic 2017,2128468415,$600.00,o,"o-Plantas de tratamiento y/o disposición de residuos sólidos de origen domiciliario, rellenos sanitarios y estaciones de transferencia que atiendan a una población igual o mayor a 5000 habitantes",Veolia SU Chile S.A.,-70.80146,-33.508245
Modificación Planta de Tratamiento Aguas Servidas del depósito y terminal de vehículos Maipú Trocal 1,DIA,Desistido,RM,Maipú,26 nov 2013,9 dic 2013,22 dic 2017,2128842303,$95.00,e,e-Terminales de buses,Inversiones Alsacia S.A.,-70.806112,-33.5157
Ampliación Proyecto Extracción de Pomacita - comuna de Maipú,DIA,Desistido,RM,Maipú,1 dic 2013,14 ene 2014,22 dic 2017,2128863794,$200.00,i,i-Extracción de pozos o canteras,SOCIEDAD CONSTRUCTORA Y AGRÍCOLA MENA ALCALDE LTDA,-70.77212,-33.47143
AMPLIACION PLANTA DE TRATAMIENTO DE AGUAS SERVIDAS DEPOSITO Y TERMINAL DE VEHÍCULOS MAIPÚ TRONCAL 1,DIA,Desistido,RM,Maipú,19 dic 2013,23 jun 2014,23 ene 2018,2128914423,$95.00,e,e-Terminales de buses,Inversiones Alsacia S.A.,-70.802602,-33.514642
Curtiembre Agrícola Riñihue,DIA,Desistido,RM,Maipú,17 Feb. 2014,24 Feb. 2014,20 oct 2016,2129147077,$7.800.000,null,null,AGRICOLA RIÑIHUE S.A,-70.748021,-33.529001
Curtiembre Agrícola Riñihue,DIA,Desistido,RM,Maipú,16 ene 2014,5 Feb. 2014,20 oct 2016,2129149569,$7.800.000,null,null,AGRICOLA RIÑIHUE S.A,-70.74818,-33.529115
Ampliación y Optimización Planta Beiersdorf Chile S.A.,DIA,Desistido,RM,Maipú,18 Feb. 2014,5 Mar. 2014,23 ene 2018,2129282457,$5.280.000,null,null,Beiersdorf S.A.,-70.73605,-33.520661
