NOMBRE_PROYECTO,FORMA_PRESENTACION,ESTADO_EVALUACION,REGION,COMUNAS,FECHA_PRESENTACION,FECHA_CALIFICACION,FECHA_MODIFICACION,ID_EXPEDIENTE,INVERSION_US,LETRA_TIPOLOGIA,NOMBRE_TIPOLOGIA,TITULAR,lat,lng
construccion de un nuevo terminal de buses tipo BCG1 en 5 poniente Maipú,DIA,No Admitido a Tramitación,RM,Maipú,24 nov 2005,6 dic 2005,10 jul 2017,1125856,$200.00,e,e-Terminales de buses,Simón Dosque San Martin,-70.802375,-33.514636
Modificación de la Etapa de Abandono del Proyecto de Recuperación y Mejoramiento de de suelos Mediante la Actividad de Extracción y Procesamiento de Áridos,DIA,Desistido,RM,Maipú,14 dic 2005,29 oct 2007,21 jul 2017,1152779,$500.00,i,i-Extracción de pozos o canteras,Aridos Maipú,-70.821451,-33.505845
"Mejoramiento de la Seguridad Vial Camino Rinconada, Maipú, RM",DIA,Rechazado,RM,Maipú,8 dic 2005,20 Ago. 2006,24 nov 2017,1153149,$1.009.844,o,"o-Plantas de tratamiento y/o disposición de residuos sólidos de origen domiciliario, rellenos sanitarios y estaciones de transferencia que atiendan a una población igual o mayor a 5000 habitantes",Veolia SU Chile S.A.,-70.79981,-33.507748
Elaboradora y Embotelladora de Bebidas Analcohólicas,DIA,No Admitido a Tramitación,RM,Maipú,11 dic 2005,30 dic 2005,21 jul 2017,1158159,$3.000.000,h,h-Proyectos industriales,ALIMENTOS FRUNA LTDA.,-70.747587,-33.523132
Contrucción de un Nuevo Terminal de Buses Tipo BCG1 en 5 Poniente Maipú Terminal de Buses,DIA,No Admitido a Tramitación,RM,Maipú,29 dic 2005,10 ene 2006,20 jul 2017,1193163,$200.00,e,e-Terminales de buses,Simón Dosque San Martin,-70.803773,-33.510796
Elaboradora y Embotelladora de Bebidas Analcohólicas,DIA,Aprobado,RM,Maipú,4 ene 2006,27 nov 2006,3 Feb. 2014,1199149,$3.000.000,h,h-Proyectos industriales,ALIMENTOS FRUNA LTDA.,-70.736,-33.516586
Construcción de un Nuevo terminal de buses Tipo BCG1 Exp. Nº14/2006.,DIA,Aprobado,RM,Maipú,16 ene 2006,28 sep 2008,3 Feb. 2014,1221320,$200.00,e,e-Terminales de buses,Buses Vule S.A.,-70.773659,-33.453996
Planta de Recuperación de Solventes,DIA,No Admitido a Tramitación,RM,Maipú,13 Feb. 2006,23 Feb. 2006,20 jul 2017,1277797,$4.000.000,h,h-Proyectos industriales,Juan Emilio Azolas Radojkovic,-70.763393,-33.532701
REVALORIZACIÓN DE ACEITES AGOTADOS DE FRITURA,DIA,No Admitido a Tramitación,RM,Maipú,14 Feb. 2006,23 Feb. 2006,21 jul 2017,1285111,$34.00,o,o-Sistemas de tratamiento y/o disposición de residuos industriales sólidos,TRIO S.A.,-70.731065,-33.512551
REVALORIZACIÓN DE ACEITES AGOTADOS DE FRITURA,DIA,Desistido,RM,Maipú,23 Feb. 2006,14 Mar. 2006,20 jul 2017,1307023,$34.00,o,o-Sistemas de tratamiento y/o disposición de residuos industriales sólidos,TRIO S.A.,-70.731095,-33.512862
Planta de Recuperación de Solventes Edelpa,DIA,Desistido,RM,Maipú,28 Feb. 2006,17 Mar. 2006,23 Ago. 2017,1313668,$4.000.000,h,h-Proyectos industriales,Envases del Pácifico S.A.,-70.76329,-33.533147
REVALORIZACIÓN DE ACEITES AGOTADOS DE FRITURA,DIA,Aprobado,RM,Maipú,9 Mar. 2006,20 Ago. 2006,28 ene 2014,1335403,$34.00,o,o-Sistemas de tratamiento y/o disposición de residuos industriales sólidos,Bioils S.p.A.,-70.731021,-33.512293
Proyecto Planta de Recuperación de Solventes,DIA,Aprobado,RM,Maipú,4 abr 2006,21 dic 2006,28 ene 2014,1378909,$4.000.000,h,h-Proyectos industriales,Envases del Pácifico S.A.,-70.764366,-33.532903
Bodega de Acopio de Residuos Peligrosos,DIA,No Admitido a Tramitación,RM,Maipú,16 May. 2006,2 jun 2006,24 jul 2017,1389489,$17.50,ñ,"ñ-Producción, almacenamiento, disposición o reutilización o transporte por medios terrestres de sustancias inflamables, (sustancias señaladas en las clases 3 y 4 de la NCh. 2120/Of. 89)",TEXACO CHILE S.A.C TEXACO CHEVRON,-70.729513,-33.513512
